depth (m),PAR (microE/m2/s),Ed380 (mW/cm2/micron),Ed443 (mW/cm2/micron),Ed490 (mW/cm2/micron),Ed555 (mW/cm2/micron)
68.91,1.820020,0.001766,0.121722,0.558330,0.108003
67.79,1.911500,0.002030,0.128275,0.586649,0.119829
66.96,2.034652,0.002690,0.134546,0.608454,0.128260
65.73,2.172208,0.002367,0.144379,0.645245,0.142692
65.01,2.254056,0.001827,0.149380,0.666360,0.151805
63.73,2.437061,0.002976,0.162792,0.709665,0.170849
62.90,2.586844,0.002526,0.172119,0.742894,0.185235
61.75,2.764613,0.002330,0.185150,0.787212,0.205309
59.95,3.138143,0.002989,0.209283,0.879144,0.245139
59.65,3.239251,0.002653,0.214565,0.900230,0.254697
59.39,3.264395,0.003392,0.217339,0.908400,0.257924
59.04,3.370632,0.002615,0.223879,0.931056,0.267467
58.86,3.409921,0.003423,0.226576,0.940949,0.271206
58.50,3.505735,0.003615,0.232899,0.963409,0.281005
58.21,3.629517,0.004041,0.240126,0.988532,0.292134
57.99,3.661230,0.004713,0.244090,0.999861,0.296241
57.75,3.691458,0.005090,0.247327,1.012716,0.301260
57.39,3.811888,0.003760,0.254325,1.037137,0.313218
57.25,3.872398,0.004030,0.259028,1.051499,0.317222
56.86,3.949932,0.004331,0.266291,1.075792,0.328711
56.74,4.066843,0.003747,0.272706,1.097008,0.336876
56.35,4.176695,0.003807,0.279957,1.126131,0.348685
56.18,4.237660,0.004803,0.283073,1.137823,0.352793
55.98,4.318446,0.004848,0.290279,1.157127,0.360169
55.69,4.440017,0.004339,0.300580,1.188657,0.373198
55.42,4.516858,0.004434,0.305561,1.207341,0.380250
55.04,4.662128,0.005509,0.317094,1.239867,0.394567
54.98,4.744798,0.005114,0.324073,1.261407,0.402775
54.70,4.814246,0.004832,0.329528,1.280400,0.409963
54.35,4.986102,0.005581,0.340926,1.322376,0.426186
54.26,5.057775,0.005823,0.348752,1.341748,0.434290
53.82,5.235031,0.005750,0.362735,1.385594,0.450460
53.73,5.298725,0.005862,0.368970,1.403412,0.456783
53.46,5.411621,0.005315,0.377853,1.430452,0.467389
53.12,5.602880,0.006168,0.390797,1.476570,0.486481
52.75,5.806462,0.005827,0.407916,1.525111,0.505711
52.44,5.984067,0.007004,0.422859,1.571599,0.524782
52.16,6.197368,0.007531,0.439671,1.622343,0.544848
51.86,6.335671,0.007263,0.449886,1.654296,0.557240
51.55,6.550502,0.007217,0.467204,1.704617,0.576990
51.40,6.674030,0.008414,0.478174,1.740093,0.590724
51.24,6.802704,0.007577,0.489207,1.770893,0.602262
50.95,6.919025,0.007599,0.500236,1.802649,0.614452
50.63,7.191704,0.007685,0.523302,1.869436,0.639092
50.29,7.498330,0.007743,0.547324,1.940548,0.666971
50.11,7.644391,0.008135,0.559604,1.976100,0.679276
49.75,7.879458,0.008784,0.580261,2.034012,0.700819
49.41,8.301300,0.009362,0.616535,2.141251,0.737030
49.25,8.417802,0.009643,0.625588,2.170047,0.746539
48.87,8.888825,0.011300,0.669974,2.297068,0.788954
48.49,9.320877,0.011743,0.709704,2.410711,0.824861
48.16,9.675029,0.012118,0.743587,2.501907,0.854028
47.99,10.029839,0.012780,0.779389,2.598174,0.881767
47.61,10.435633,0.013139,0.818798,2.710324,0.913629
47.47,10.782661,0.013786,0.855980,2.806673,0.938613
47.09,11.274575,0.015310,0.902000,2.932762,0.973705
46.74,11.970902,0.015734,0.972557,3.124261,1.024000
46.41,12.692818,0.017948,1.051086,3.327378,1.075363
46.12,13.512080,0.019386,1.140843,3.556892,1.128531
45.86,13.891796,0.020064,1.186138,3.667417,1.152947
45.52,14.931319,0.022538,1.300099,3.953992,1.219145
45.40,15.231119,0.023484,1.341773,4.046968,1.230903
45.20,15.933948,0.024634,1.418508,4.246539,1.277526
44.99,16.481833,0.026597,1.488174,4.402763,1.303708
44.64,17.703716,0.028163,1.641560,4.762149,1.371858
44.49,18.226320,0.029943,1.708030,4.908033,1.400380
44.12,19.275302,0.032877,1.841784,5.194590,1.462559
43.97,20.105982,0.035086,1.936234,5.419467,1.522856
43.70,21.277833,0.039146,2.086068,5.734421,1.595216
43.43,21.748109,0.040994,2.154234,5.858265,1.620892
43.21,23.038845,0.045704,2.319166,6.202711,1.699343
42.98,23.812461,0.047281,2.416268,6.409392,1.752109
42.72,24.206909,0.049512,2.479319,6.513673,1.771718
42.43,25.651378,0.054328,2.666166,6.894161,1.864475
42.24,26.299675,0.057431,2.753693,7.065836,1.906956
41.89,27.719121,0.063659,2.952022,7.431383,1.997561
41.61,28.796921,0.068741,3.118190,7.713195,2.056786
41.37,30.311422,0.073901,3.297384,8.103641,2.165694
41.06,31.497502,0.080614,3.483873,8.407131,2.230885
40.90,31.981080,0.083724,3.568156,8.531106,2.257571
40.55,33.733570,0.091930,3.813582,8.968497,2.372431
40.35,34.611331,0.096978,3.943700,9.188382,2.423145
40.02,36.469411,0.106270,4.205454,9.652813,2.548638
39.87,37.350010,0.112018,4.337575,9.869088,2.604963
39.49,39.195972,0.123900,4.606010,10.321404,2.725980
39.23,40.915685,0.134865,4.873614,10.741959,2.833778
38.99,41.944119,0.142519,5.027326,10.986723,2.898764
38.72,43.677670,0.155657,5.298156,11.409516,3.006698
38.50,44.898351,0.164419,5.480475,11.702867,3.085418
38.24,46.728798,0.179474,5.773746,12.132604,3.196823
38.00,47.405892,0.188305,5.897146,12.285512,3.235265
37.50,50.557109,0.216048,6.409058,13.038189,3.431828
37.24,53.363669,0.237887,6.828029,13.702687,3.619945
36.99,55.253881,0.252290,7.102466,14.151690,3.750177
36.67,57.081763,0.274933,7.435284,14.568972,3.852834
36.30,59.659777,0.302218,7.851156,15.149699,4.016058
36.23,60.618545,0.316092,8.025729,15.364544,4.079274
35.99,62.723483,0.332856,8.332329,15.858207,4.223733
35.62,64.798247,0.363156,8.712702,16.316451,4.341165
35.35,68.144835,0.402354,9.257561,17.095137,4.572333
35.15,68.586474,0.416610,9.379107,17.159999,4.576901
34.78,72.452024,0.461333,9.988407,18.028643,4.842602
34.73,73.918426,0.482173,10.234855,18.353045,4.933108
34.45,73.588035,0.497346,10.281045,18.242376,4.879782
34.25,77.680574,0.549665,10.934727,19.151371,5.156786
33.95,79.268895,0.576029,11.224148,19.506957,5.254179
33.70,81.764998,0.622643,11.689042,20.039396,5.404006
33.45,84.274025,0.655904,12.083799,20.602843,5.579671
33.12,88.683971,0.718901,12.796651,21.575208,5.892621
32.82,90.968576,0.774606,13.258636,22.027793,6.014155
32.70,92.264864,0.802701,13.480260,22.266504,6.109312
32.51,94.440468,0.839163,13.845502,22.745550,6.255987
32.03,100.695843,0.948160,14.878259,24.050863,6.697555
31.96,101.966468,0.983161,15.133424,24.306543,6.770878
31.68,102.692799,1.012270,15.313769,24.448086,6.802015
31.45,105.879587,1.092036,15.904525,25.084807,7.013264
31.21,108.283991,1.137481,16.302902,25.590443,7.174070
30.96,111.346736,1.218370,16.866418,26.179356,7.377524
30.75,111.316278,1.249429,16.938281,26.109573,7.370073
30.45,117.200679,1.363497,17.901344,27.343427,7.790722
30.23,122.493068,1.469161,18.764882,28.428988,8.171742
29.96,121.491787,1.501446,18.720121,28.121583,8.084637
29.71,122.643936,1.571886,19.003788,28.286832,8.135081
29.51,127.680556,1.672434,19.835369,29.361450,8.494700
29.20,130.356097,1.760979,20.335302,29.858346,8.708150
28.92,135.553483,1.910540,21.262270,30.872333,9.069294
28.62,139.431224,2.051845,21.982046,31.568705,9.344699
28.26,147.033383,2.192241,23.149201,33.163130,9.908556
27.95,155.810033,2.442488,24.613617,34.822595,10.580375
27.70,154.450731,2.519136,24.629350,34.465526,10.403492
27.40,162.516878,2.684342,25.877471,36.120884,11.044006
27.10,166.515489,2.846539,26.600185,36.833068,11.357741
26.85,169.774300,3.002596,27.241129,37.381063,11.582645
26.71,170.095992,3.079685,27.392116,37.359971,11.592291
26.37,173.844748,3.252244,28.088569,37.984386,11.842384
26.10,174.602740,3.416348,28.390314,37.954095,11.867343
26.01,178.652674,3.529268,29.003924,38.695489,12.207681
25.67,190.290633,3.837681,30.855515,40.988682,13.144470
25.49,191.707321,3.941445,31.176267,41.231586,13.243221
25.24,204.903447,4.300074,33.257491,43.822058,14.322921
24.96,208.749977,4.437836,33.889775,44.505163,14.612535
24.67,215.212376,4.736027,34.989282,45.557824,15.119163
24.35,205.673215,4.803798,33.967144,43.538351,14.300771
24.05,224.000362,5.281732,36.726145,47.024222,15.815628
23.94,230.646169,5.495707,37.762622,48.257167,16.361090
23.59,228.860718,5.656849,37.596437,47.574344,16.200856
23.26,235.338448,5.977834,38.742133,48.743444,16.797974
22.95,227.145413,6.066215,37.792490,46.862986,16.019946
22.64,247.822252,6.618726,40.913981,50.847731,17.844187
22.40,240.365670,6.693027,39.933172,49.082031,17.184486
22.16,259.542417,7.263842,42.891072,52.746289,18.889003
21.92,257.470883,7.339622,42.601453,52.122210,18.693654
21.60,269.891285,7.803134,44.609411,54.430802,19.739360
21.35,279.196285,8.222649,46.025339,55.945128,20.604575
21.05,276.642975,8.451408,45.955382,55.325174,20.377937
20.77,285.718198,8.889698,47.337024,56.771720,21.242569
20.73,297.407325,9.235721,49.059755,58.975165,22.387869
20.47,299.711259,9.433659,49.571033,59.396479,22.567184
20.25,298.629494,9.684657,49.385512,58.702262,22.496446
19.95,284.898788,9.711283,47.633395,55.847083,21.170603
19.66,333.417633,11.033016,54.694003,64.866433,25.600908
19.36,310.691126,10.904029,51.782661,60.344715,23.590898
19.11,316.241649,11.289240,52.537162,61.084173,24.231351
18.77,337.060193,12.075788,55.698067,64.700032,26.059037
18.72,338.200376,12.242862,55.840353,64.755505,26.248615
18.48,358.736020,12.922072,58.998139,68.726620,28.190251
18.21,367.394849,13.476272,60.337431,69.948915,29.065836
17.99,347.286231,13.371690,57.642561,65.836663,27.118118
17.76,346.919203,13.701138,57.638678,65.432708,27.186423
17.49,372.882739,14.491396,61.502580,70.224943,29.593179
17.22,353.527122,14.359914,58.574985,66.038613,27.811405
16.93,367.387898,15.044095,60.503080,68.181413,29.276913
16.56,366.221250,15.331993,60.546063,67.754332,29.367937
16.49,377.107355,15.852411,62.044628,69.407058,30.376993
16.10,372.975667,16.075911,61.400295,68.173279,30.058159
15.83,380.024359,16.636501,62.361982,69.218784,30.905981
15.69,383.607434,16.949468,62.950077,69.469627,31.103009
15.39,424.246279,18.336856,68.542726,76.490200,35.359502
15.07,450.827082,19.487077,72.368406,81.017151,37.926626
14.99,419.028298,18.821807,67.940998,75.236000,35.130196
14.75,447.512689,19.765039,71.848030,80.005228,37.767107
14.46,415.549424,19.256033,67.311259,73.620059,34.420460
14.22,456.113892,20.759155,73.120957,80.737174,39.026035
14.00,450.492259,20.659287,71.492365,78.885682,38.928179
13.74,472.665683,21.451031,74.305367,81.980853,40.817578
13.34,474.103560,22.175982,75.276700,82.367577,40.968511
13.10,475.877147,22.325504,74.686810,81.857129,41.709654
12.91,503.736519,23.552189,78.693787,86.525212,44.602195
12.73,520.839370,24.025216,80.437461,88.839351,46.256274
12.47,478.117715,23.125620,74.974297,81.675739,42.072721
12.23,512.072505,24.578200,79.769865,87.468219,45.862113
11.93,505.208115,24.254929,77.258502,83.720533,45.249908
11.66,480.577070,23.980876,74.274407,79.504084,42.498916
11.41,503.099912,25.233303,77.903037,83.986880,44.966763
11.17,536.839131,25.879284,80.439066,87.452989,48.645724
10.93,501.326617,25.164153,76.122811,82.385419,45.580781
10.66,551.942992,27.466394,83.448426,90.460719,50.568352
10.45,523.127974,26.904019,79.964535,86.108757,47.492291
10.16,581.988969,28.640134,86.190424,92.928669,54.198560
9.94,543.882036,27.592070,80.385133,86.594597,50.923258
9.68,532.943484,27.615442,79.067972,84.182080,49.269337
9.43,578.723358,29.308849,84.248091,90.847226,54.432265
9.17,602.875838,30.178421,86.497987,94.096139,57.313867
8.85,568.560612,29.352003,81.847360,87.766984,54.724469
8.54,573.960987,29.747732,81.995577,87.035334,53.919556
8.51,628.894954,31.547594,87.835859,95.477634,61.116904
8.19,635.406803,32.774379,90.232260,95.362550,59.638324
7.97,691.030154,35.172118,97.258335,103.358808,64.815395
7.71,589.101679,31.784032,84.060185,89.125149,57.043901
7.48,606.639295,32.510306,85.621466,90.255701,58.788683
7.18,678.094730,35.725517,95.140515,101.668379,63.216564
6.94,753.973127,36.661096,97.387121,107.485232,75.812899
6.71,820.044345,39.941400,108.256714,117.877121,78.789825
6.42,699.290680,36.075374,92.871938,99.580662,68.815736
6.12,675.052502,36.868562,93.277982,100.968478,70.513947
5.96,675.748206,36.016642,90.025648,95.456529,67.755479
5.63,774.895464,41.097070,103.637528,113.124764,78.234069
5.36,725.005199,38.758484,95.291822,99.278798,70.815156
5.08,867.607330,43.970834,111.255301,122.278959,81.483652
4.96,908.533586,42.850357,105.489210,114.671298,88.947266
4.64,837.098678,42.574204,102.101978,109.012652,83.218970
4.49,830.337662,42.287185,100.681465,107.422537,84.791355
4.20,882.359672,46.593342,113.203637,125.351547,84.416082
3.90,1078.415401,50.401667,123.179824,131.455431,86.718906
3.75,1042.061173,48.618081,116.415850,125.361306,95.751548
3.45,1095.000670,49.953853,120.359565,123.477047,93.617420
3.17,1114.772919,52.429280,120.194154,130.205207,93.696617
2.87,908.844475,48.108742,116.437023,125.441225,74.261075
2.72,907.633569,44.397341,99.010053,109.154051,72.168622
2.43,1019.270905,46.704232,103.522197,107.952310,98.037960
2.21,1327.930286,52.610793,123.219377,118.658484,104.578918
1.91,1047.358261,46.787289,102.352593,101.081598,76.203330
1.70,1164.140913,52.088971,100.017595,113.095295,98.714983
1.50,933.891190,46.834803,111.549085,123.997596,91.019236
1.23,1276.447006,53.033384,109.381372,128.858010,77.889391
0.95,1156.771402,50.417525,119.547348,123.946334,102.313034
0.68,1199.624791,66.089072,150.967597,143.380954,144.708082
0.45,1398.880057,53.815557,110.096543,101.402181,122.808114
0.21,1488.301215,58.671620,122.402089,139.985262,116.962392
